EmployeeId,CommuteDistance,DegreeCompleted,DegreeField,Department,EmploymentEndDate,EmploymentEndReason,EmploymentStartDate,Gender,JobLevel,MaritalStatus,NumPreviousCompanies,NumYearsWorked,OvertimeDays,OvertimeHours,Salary,TrainingsAttended,TravelFrequency,WeeklyHoursBudgeted,YearOfBirth
1105,15,Master,Other,Other,2019-08-02,Retired,2003-02-27,Female,3,Single,,15,1,6,72600,2,Less than Monthly,40,1981
1106,9,Master,Business,Accounting,,,2019-02-08,Male,3,Married,1.0,1,3,10,61700,0,No travel,40,1995
1107,7,Master,Other,Accounting,,,2019-02-24,Female,3,Married,5.0,21,1,2,111400,0,Weekly,40,1975
1108,12,Master,Marketing,Marketing,,,2011-09-07,Female,3,Divorced,0.0,9,7,8,43400,1,No travel,40,1987
1109,13,Doctor,Business,Marketing,,,2012-09-25,Female,5,,3.0,29,8,13,94900,3,Less than monthly,40,1965
1110,4,Master,Finance,Sales,2019-11-15,Went to another company,2017-08-25,Male,2,Married,1.0,3,2,4,26400,2,,40,1995
1111,11,Bachelor,Marketing,Other,,,2008-12-18,Male,1,Single,0.0,12,2,9,54900,0,,40,1981
1112,2,Bachelor,Life Sciences,Accounting,,,2015-02-25,Female,1,Single,3.0,13,1,5,72700,2,,40,1984
1113,8,Bachelor,Other,Marketing,2019-03-08,Retired,2016-01-12,Female,1,Married,,5,2,8,31900,1,Weekly,40,1988
1114,5,Bachelor,Finance,Marketing,,,2015-06-30,Male,1,,1.0,13,7,8,40400,1,Less than Monthly,40,1981
1115,14,Bachelor,Business,Human Resources,2019-05-03,Went to another company,2018-02-10,Male,1,Single,1.0,6,6,13,42000,-1,Less than Monthly,40,1989
1116,6,Bachelor,Finance,Accounting,,,2018-04-16,Male,4,Married,7.0,25,9,14,137900,0,Less than Monthly,40,1969
1117,1,Master,Marketing,Marketing,,,2018-11-15,Male,2,Single,6.0,30,1,2,73400,1,Less than Monthly,40,1966
1118,15,Bachelor,Business,Information Technology,,,2013-03-16,Male,1,Divorced,1.0,15,5,12,68600,1,,40,1979
1119,11,Doctor,Computer Science,Other,,,2018-09-19,Female,2,Married,2.0,10,1,3,56900,0,Monthly,40,1987
1120,10,Bachelor,Computer Science,Other,,,2010-07-27,Female,1,Divorced,0.0,10,24,26,51700,1,Monthly,40,1988
1121,11,Master,Other,Marketing,2019-07-04,Fired,2014-01-08,Male,4,Single,1.0,18,1,4,62300,2,Weekly,40,1979
1122,8,Master,Other,Information Technology,,,2016-02-03,Male,3,Single,2.0,12,2,6,75900,2,Weekly,40,1982
1123,5,Master,Other,Other,,,2014-12-05,Male,3,Divorced,2.0,14,1,5,70500,1,Monthly,40,1979
1124,11,Bachelor,Business,Other,2019-07-31,Retired,2003-09-04,Male,1,Married,,17,11,30,63600,5,,40,1976
1125,6,Master,Marketing,Human Resources,,,2017-12-04,Female,3,Married,3.0,15,1,4,66400,2,,40,1983
1126,15,Associate,Business,Other,,,2013-07-14,Female,1,Married,1.0,18,1,4,65500,1,,40,1978
1127,13,Master,Business,Marketing,,,2019-06-22,Male,2,Single,1.0,3,1,1,33100,1,,40,1993
1128,12,Master,Marketing,Accounting,,,2013-11-13,Male,3,Married,1.0,15,2,8,93300,2,Weekly,40,1982
1129,9,Master,Other,Marketing,,,2018-01-15,Male,2,Single,0.0,2,2,4,32100,3,Monthly,40,1994
1130,7,Associate,Business,Other,2019-09-17,Went to another company,2013-10-05,Female,2,Single,3.0,33,35,41,112300,2,Weekly,40,1964
1131,8,Bachelor,Technical Degree,Other,,,2018-11-09,Female,2,Married,3.0,19,4,11,74300,0,monthly,40,1975
1132,10,Master,Technical Degree,Marketing,2019-09-06,Went to another company,2017-01-15,Male,1,Married,2.0,17,1,4,45500,1,Monthly,40,1980
1133,7,Bachelor,Finance,Information Technology,,,2017-07-26,Female,2,Divorced,7.0,28,2,4,110700,1,Less than Monthly,40,1969
1134,13,Bachelor,Computer Science,Other,,,2019-08-05,Male,2,Married,3.0,8,17,43,53600,1,Weekly,40,1988
1135,10,Master,Business,Sales,2019-12-06,Went to another company,2014-01-21,Female,5,Married,3.0,21,5,7,59900,2,Monthly,40,1972
1136,4,Bachelor,Business,Other,,,2012-06-29,Male,1,Married,2.0,19,3,10,67500,3,No travel,40,1978
1137,14,Master,Computer Science,Marketing,,,2019-01-31,Male,4,Divorced,8.0,35,1,6,103000,2,No travel,40,1961
1138,2,Master,Business,Other,,,2015-04-14,Male,3,Married,2.0,9,1,1,60800,4,Monthly,40,1989
1139,8,Bachelor,Life Sciences,Other,,,2015-01-13,Female,1,Married,2.0,12,1,3,54900,2,Monthly,40,1985
1140,11,Associate,Other,Other,2019-05-16,Retired,1995-01-25,Female,2,Married,,27,6,12,94100,2,No travel,40,1966
1141,8,Master,Business,Other,,,2012-04-19,Male,5,Single,2.0,29,3,10,132800,1,,40,1966
1142,2,Bachelor,Life Sciences,Other,2019-02-01,Went to another company,2012-12-07,Male,3,Married,2.0,23,1,5,91900,1,Monthly,40,1971
1143,5,Master,Finance,Marketing,,,2018-04-06,Male,2,Married,1.0,1,2,4,31200,1,,40,1994
1144,10,Master,Marketing,Information Technology,,,2019-06-11,Female,2,Married,0.0,1,9,31,49900,1,,40,1993
1145,16,Master,Finance,Accounting,2019-06-03,Went to another company,2015-11-09,Female,3,Married,2.0,16,2,9,96100,1,Less than monthly,40,1977
1146,13,Bachelor,Computer Science,Other,,,2019-02-28,Male,2,Married,0.0,1,1,5,43600,1,Weekly,40,1993
1147,5,Bachelor,Business,Information Technology,,,2015-05-16,Male,2,Single,2.0,25,5,20,101300,1,monthly,40,1973
1148,12,Master,Marketing,Marketing,,,2019-04-17,Female,2,Married,1.0,3,1,4,33100,1,Weekly,40,1992
1149,9,Bachelor,Finance,Marketing,,,2017-06-06,Female,3,Single,1.0,11,1,3,46100,3,No travel,40,1982
1150,11,Bachelor,Business,Accounting,,,2019-04-17,Male,1,Married,1.0,5,1,4,57400,1,Monthly,40,1990
1151,6,Bachelor,Computer Science,Other,,,2019-06-23,Male,2,Single,2.0,12,2,7,60400,7,Monthly,40,1983
1152,6,Bachelor,Business,Accounting,,,2015-04-02,Female,2,Married,3.0,16,3,4,87400,2,monthly,40,1982
1153,8,Bachelor,Business,Information Technology,,,2014-10-02,Male,1,Single,2.0,15,1,4,68600,2,weekly,40,1979
1154,6,Bachelor,Business,Sales,,,2019-05-07,Male,2,Single,2.0,11,3,11,33500,2,Less than Monthly,40,1983
1155,10,Master,Marketing,Other,,,2015-11-17,Male,2,Married,2.0,12,5,22,60400,1,Less than Monthly,40,1983
1156,11,Bachelor,Finance,Information Technology,2019-08-29,Retired,2011-05-24,Female,1,Divorced,,9,4,8,57400,4,Less than Monthly,40,1988
1157,1,Master,Business,Accounting,,,2019-08-23,Female,5,Married,2.0,8,3,11,91800,1,,40,1988
1158,4,Master,Technical Degree,Other,,,2017-02-23,Female,3,Married,1.0,12,9,10,66400,0,Monthly,40,1984
1159,6,Master,Marketing,Marketing,,,2015-12-17,Female,4,Married,2.0,24,3,4,74400,0,Monthly,40,1974
1160,11,Master,Other,Sales,,,2018-03-21,Male,4,Married,3.0,18,12,32,49900,4,Monthly,40,1978
1161,12,Master,Other,Accounting,,,2014-06-24,Female,3,Divorced,6.0,34,2,8,163600,2,Monthly,40,1959
1162,6,Bachelor,Finance,Marketing,,,2016-03-17,Male,1,Married,0.0,4,6,22,31000,2,monthly,40,1989
1163,6,Master,Finance,Marketing,,,2014-12-01,Male,4,Married,3.0,20,17,34,66100,1,No travel,40,1978
1164,1,Master,Business,Marketing,,,2019-02-05,Female,2,Single,1.0,6,6,16,36100,3,No travel,40,1992
1165,11,Master,Other,Other,,,2008-07-10,Female,2,Married,1.0,20,4,9,76500,0,monthly,40,1976
1166,15,Master,Finance,Other,,,2016-01-19,Male,3,Single,1.0,7,2,8,57300,3,No travel,40,1987
1167,12,Bachelor,Other,Other,,,2016-05-23,Female,1,,2.0,17,6,13,63600,1,Monthly,40,1979
1168,12,Associate,Computer Science,Accounting,2019-11-18,Fired,2019-06-08,Male,1,Married,1.0,4,1,2,55700,2,,40,1993
1169,6,Master,Marketing,Other,,,2018-06-07,Female,1,Married,0.0,2,1,4,40800,2,,40,1991
1170,13,Bachelor,Marketing,Other,2019-09-16,Went to another company,2015-11-15,Male,1,Single,2.0,17,1,5,63600,0,Weekly,40,1978
1171,1,Bachelor,Other,Other,,,2019-07-02,Male,1,Married,6.0,20,4,11,69500,1,,40,1975
1172,10,Master,Computer Science,Other,2019-05-14,Retired,1996-05-15,Female,4,Married,,26,2,9,110500,0,No travel,40,1972
1173,8,Bachelor,Finance,Accounting,2019-11-11,Retired,2011-11-09,Male,3,Divorced,2.0,21,2,5,111400,5,,40,1972
1174,7,Bachelor,Computer Science,Marketing,,,2015-06-22,Male,3,Married,5.0,32,1,7,85700,2,No travel,40,1966
1175,2,Master,Marketing,Other,,,2019-07-31,Male,4,Married,1.0,4,2,9,57700,0,No travel,40,1994
1176,16,Master,Finance,Sales,,,2017-09-13,Female,3,Married,3.0,23,3,5,52500,2,,40,1973
1177,7,Bachelor,Business,Marketing,,,2015-06-21,Male,2,Married,3.0,18,1,3,51500,2,Monthly,40,1977
1178,3,Master,Technical Degree,Other,,,2019-04-08,Male,4,Divorced,4.0,16,8,18,82200,0,,40,1978
1179,3,Bachelor,Marketing,Marketing,2019-01-10,Retired,2011-01-20,Male,1,Married,,11,2,5,38100,0,,40,1982
1180,9,Master,Business,Information Technology,,,2019-05-19,Male,2,Married,0.0,1,10,14,49900,1,Less than monthly,40,1994
1181,13,Master,Technical Degree,Other,2019-08-02,Retired,1987-11-26,Female,3,Single,,32,3,10,120000,1,,40,1964
1182,15,Bachelor,Business,Other,2019-06-26,Went to another company,2019-06-18,Female,1,Married,1.0,5,1,4,44600,0,,40,1992
1183,15,Bachelor,Other,Accounting,,,2018-01-06,Female,1,Single,0.0,2,1,1,52500,1,Less than Monthly,40,1994
1184,12,Bachelor,Business,Other,2019-03-01,Went to another company,2016-06-22,Female,1,Married,4.0,22,3,9,73800,1,Monthly,40,1974
1185,2,Bachelor,Finance,Marketing,2019-05-14,Went to another company,2016-05-19,Male,2,Married,0.0,4,5,12,34000,1,,40,1993
1186,8,Bachelor,Other,Accounting,,,2014-02-25,Male,2,Single,2.0,18,1,3,92700,1,Monthly,40,1979
1187,9,Master,Business,Information Technology,,,2018-03-01,Male,4,Married,5.0,24,1,5,119000,1,No travel,40,1972
1188,8,Master,Business,Information Technology,,,2017-07-03,Female,3,Married,0.0,3,4,16,58200,2,Weekly,40,1993
1189,1,Bachelor,Business,Other,,,2016-04-17,Female,1,Single,2.0,17,3,12,63600,0,Less than monthly,40,1980
1190,4,Master,Marketing,Other,2019-03-29,Retired,2000-01-14,Male,2,Single,,22,2,7,81100,0,No travel,40,1973
1191,10,Bachelor,Marketing,Marketing,,,2015-03-29,Female,3,Single,3.0,18,6,21,56600,2,Weekly,40,1977
1192,2,Master,Other,Sales,2019-05-14,Retired,1987-06-11,Female,4,Single,,34,1,6,80000,0,Less than Monthly,40,1964
1193,5,Bachelor,Finance,Other,,,2012-04-23,Female,3,Married,1.0,20,1,4,84100,3,No travel,40,1973
1194,11,Master,Finance,Other,,,2014-01-19,Male,4,Married,3.0,25,1,3,107300,1,weekly,40,1968
1195,1,Master,Other,Marketing,,,2016-02-26,Male,2,Single,1.0,4,3,13,34000,2,Monthly,40,1994
1196,8,Bachelor,Business,Other,2019-11-20,Went to another company,2019-04-09,Male,1,Married,0.0,1,5,17,39700,2,,40,1994
1197,8,Bachelor,Computer Science,Other,,,2014-12-12,Female,1,Married,1.0,9,1,1,50200,1,No travel,40,1987
1198,12,Bachelor,Business,Other,2019-03-20,Went to another company,2013-01-22,Male,2,Single,0.0,7,24,33,52100,1,No travel,40,1986
1199,7,Bachelor,Business,Information Technology,,,2017-01-30,Female,1,Married,2.0,4,2,8,49500,2,Weekly,40,1994
1200,11,Associate,Other,Sales,,,2008-02-03,Male,2,Single,1.0,22,1,4,46400,1,,40,1976
1201,11,Bachelor,Other,Other,,,2019-01-24,Female,2,Single,6.0,23,26,53,83600,0,,40,1970
1202,6,Bachelor,Other,Information Technology,2019-06-03,Fired,2019-02-18,Female,1,Single,5.0,20,2,4,79500,0,Monthly,40,1978
1203,7,Bachelor,Business,Accounting,,,2015-08-10,Female,4,Married,4.0,35,1,6,185400,1,No travel,40,1959
1204,15,Master,Business,Information Technology,2019-04-11,Went to another company,2014-04-27,Female,4,Single,2.0,22,7,12,112200,2,Less than Monthly,40,1975
1205,18,Bachelor,Marketing,Sales,2019-11-25,Went to another company,2019-09-02,Female,1,Divorced,0.0,1,4,12,22700,2,No travel,40,1993
1206,13,Bachelor,Other,Sales,2019-05-24,Went to another company,2012-07-12,Female,2,Single,3.0,29,3,5,57000,2,,40,1966
1207,7,Master,Finance,Information Technology,,,2011-11-02,Female,2,Single,1.0,18,7,11,82400,1,Monthly,40,1975
1208,12,Bachelor,Technical Degree,Other,2019-07-31,Retired,2012-09-06,Female,2,,2.0,32,1,3,109100,1,Monthly,40,1966
1209,7,Master,Business,Information Technology,,,2017-01-01,Female,1,Married,2.0,17,1,2,72700,0,,40,1979
1210,11,Bachelor,Other,Sales,,,2017-08-08,Male,2,Married,2.0,12,1,2,34500,0,Weekly,40,1984
1211,12,Bachelor,Business,Marketing,,,2017-12-22,Female,3,Married,1.0,4,1,5,37500,1,No travel,40,1990
1212,10,Master,Finance,Accounting,,,2009-10-14,Female,5,Married,2.0,30,4,15,175900,1,Weekly,40,1968
1213,9,Master,Marketing,Other,,,2015-06-05,Male,4,,2.0,24,1,2,104200,1,Monthly,40,1970
1214,6,Master,Finance,Other,,,2018-05-29,Female,3,Married,1.0,1,1,1,48000,1,Monthly,40,1993
1215,7,Bachelor,Business,Marketing,2019-07-15,Retired,2011-08-01,Male,2,Single,3.0,42,3,14,104700,2,,40,1952
1216,10,Bachelor,Technical Degree,Sales,,,2019-08-04,Female,1,Married,2.0,5,2,3,25500,1,No travel,40,1988
1217,9,Bachelor,Marketing,Marketing,,,2019-06-29,Male,3,Married,3.0,17,1,4,55000,1,monthly,40,1981
1218,14,Master,Other,Marketing,,,2015-07-09,Female,2,Married,0.0,5,3,7,35100,1,Monthly,40,1990
1219,8,Master,Marketing,Marketing,,,2013-11-16,Male,2,Married,3.0,26,3,13,65200,1,No travel,40,1967
1220,8,Associate,Computer Science,Other,,,2015-06-16,Female,3,Married,2.0,16,2,5,74800,1,Monthly,40,1981
